,learning rate,background,foregound
0,0.001,0.9930487461867765,0.05247031919340412
1,0.001,0.9935460709706904,0.20561568250344023
2,0.001,0.9940425528477187,0.2749172459344496
3,0.001,0.994104957375915,0.3212939276331993
4,0.001,0.9940206295942544,0.284943700700103
5,0.001,0.9941510261384204,0.3009282897342429
6,0.001,0.9940747646814765,0.2997593714060189
7,0.001,0.9941582510911339,0.3401821150800188
8,0.001,0.9942316942460546,0.3244841985820188
9,0.001,0.9942722561021728,0.34632576464839243
10,0.001,0.994265630521488,0.3087386129495924
11,0.001,0.9943373057463654,0.3330880594739586
12,0.001,0.9984169244254604,0.7568621886134659
13,0.001,0.9984631965600371,0.7928893297526969
14,0.001,0.9987139873238591,0.8038900302715054
15,0.001,0.998582199919377,0.7947316847645673
16,0.001,0.9985991938943004,0.7991843854153107
17,0.001,0.9985744983853186,0.8053534523356114
18,0.001,0.9987241942995099,0.8234709153359541
19,0.001,0.99877976731681,0.8243238631747822
20,0.00025,0.998930546858792,0.8348955320186371
21,0.00025,0.9989408633228021,0.8400849171718304
22,0.00025,0.9989661594828823,0.8410096690378479
23,0.00025,0.9989863015039798,0.8342407164143897
24,0.00025,0.9988684337026574,0.8350426695377529
25,0.00025,0.9989331459282809,0.830230282867415
26,0.00025,0.9989933540381079,0.8371865369475453
27,0.00025,0.9989432579969646,0.8272989311699188
28,0.00025,0.999011602524524,0.8358943381790439
29,0.00025,0.9989540510423195,0.8425807167532109
30,0.00025,0.9990142847335391,0.8472103312803434
31,0.00025,0.9989650812271839,0.8419295243695061
32,0.00025,0.9990230872907347,0.849729151940653
33,0.00025,0.9990275729879289,0.8477222223650231
34,0.00025,0.998937098509252,0.8440796625460679
35,0.00025,0.9990473653113892,0.8528956479269036
36,0.00025,0.9989458913455188,0.8344583703212984
37,0.00025,0.9990369774752935,0.8563748470191797
38,0.00025,0.9990535465432853,0.8492389925048072
39,0.00025,0.9990134188033993,0.8514550783603485
40,6.25e-05,0.9990907557020883,0.8582049477765491
41,6.25e-05,0.9990920073996286,0.861194590898031
42,6.25e-05,0.9990937673994402,0.8619731907680819
43,6.25e-05,0.9991137211414881,0.8571663346669193
44,6.25e-05,0.9991111763045514,0.8592993522406643
45,6.25e-05,0.9991170994201951,0.8553315968984184
46,6.25e-05,0.9991027971194026,0.8595354001921134
47,6.25e-05,0.9991151299087786,0.8592552798500388
48,6.25e-05,0.9991102308162803,0.8565098580628506
49,6.25e-05,0.9991243757915089,0.862530482940919
50,6.25e-05,0.9991165519783938,0.8608482449351461
51,6.25e-05,0.9991199018617557,0.8606388158296828
52,6.25e-05,0.9991430036499782,0.8667650811150349
53,6.25e-05,0.9991190016525499,0.865142575916814
54,6.25e-05,0.9991267530703237,0.863797245363309
55,6.25e-05,0.9991544625789823,0.8627745483566254
56,6.25e-05,0.9991317291628139,0.8635349557635098
57,6.25e-05,0.9991471680448806,0.8661681771790007
58,6.25e-05,0.9991562161834454,0.8642270700614341
59,6.25e-05,0.9991690733913697,0.8595974470924412
60,1.5625e-05,0.9991587947878207,0.864295095844842
61,1.5625e-05,0.99916285864785,0.8649393857292857
62,1.5625e-05,0.9991648348104294,0.8649461949843706
63,1.5625e-05,0.9991629407641209,0.864626636576755
64,1.5625e-05,0.9991539752534524,0.8628543768829547
65,1.5625e-05,0.9991662750428324,0.86833202531921
66,1.5625e-05,0.9991401520921438,0.8689918620391973
67,1.5625e-05,0.999151729974624,0.8686228851136222
68,1.5625e-05,0.9991650878104021,0.8724504044127572
69,1.5625e-05,0.9991474143936908,0.8677118750600861
70,1.5625e-05,0.99917656976266,0.8659419137265036
71,1.5625e-05,0.9991622395781489,0.8638533865433397
72,1.5625e-05,0.9991657386010296,0.8708509237469519
73,1.5625e-05,0.9991859455988641,0.8684050241253407
74,1.5625e-05,0.9991760376696937,0.8679304972227043
75,1.5625e-05,0.9991747105070451,0.8662197044990605
76,1.5625e-05,0.9991634206710458,0.8660802124907527
77,1.5625e-05,0.9991511387886408,0.8656173750054683
78,1.5625e-05,0.9991711679957966,0.863844047928061
79,1.5625e-05,0.9991872410405854,0.8663913886434528
80,3.90625e-06,0.9991724465537989,0.8677626067988352
81,3.90625e-06,0.9991666779497659,0.8680450806290293
82,3.90625e-06,0.9991749409953922,0.8664925218651736
83,3.90625e-06,0.9991702624144979,0.8627111185262133
84,3.90625e-06,0.9991823427155292,0.866919714493813
85,3.90625e-06,0.9991813094830819,0.8672790036181011
86,3.90625e-06,0.9991723012514893,0.8644973674045614
87,3.90625e-06,0.9991748379023806,0.868574997130382
88,3.90625e-06,0.9991824811108634,0.8691474347667122
89,3.90625e-06,0.9991712268330001,0.8731294009562725
90,3.90625e-06,0.9991639670895921,0.8699365960426088
91,3.90625e-06,0.9991671527404129,0.868491746581164
92,3.90625e-06,0.9991738586466709,0.8660219186365352
93,3.90625e-06,0.9991616509503048,0.8665405227902616
94,3.90625e-06,0.9991797229251125,0.8685022321381798
95,3.90625e-06,0.9991827338550227,0.8665520555215843
96,3.90625e-06,0.9991815591574736,0.8687743176206496
97,3.90625e-06,0.999193572946884,0.8713787922020125
98,3.90625e-06,0.9991840065293052,0.8679842726355458
99,3.90625e-06,0.9991689201588284,0.8651471774977165
